iter	Passed	Remaining
0	1	121
1	2	110
2	3	102
3	4	100
4	5	100
5	6	100
6	7	101
7	8	102
8	10	106
9	11	104
10	12	103
11	13	100
12	14	97
13	15	95
14	16	94
15	17	92
16	18	91
17	19	89
18	20	87
19	21	86
20	22	85
21	23	84
22	24	83
23	26	82
24	27	81
25	28	79
26	29	78
27	30	77
28	31	76
29	32	75
30	33	73
31	34	72
32	35	71
33	36	70
34	37	69
35	38	67
36	39	66
37	40	65
38	40	64
39	41	62
40	42	61
41	43	59
42	44	58
43	44	57
44	45	56
45	46	54
46	47	53
47	48	52
48	49	51
49	50	50
50	51	49
51	52	48
52	52	46
53	53	45
54	54	44
55	55	43
56	55	42
57	56	41
58	57	40
59	58	39
60	59	37
61	59	36
62	60	35
63	61	34
64	62	33
65	63	32
66	64	31
67	64	30
68	65	29
69	66	28
70	66	27
71	67	26
72	68	25
73	69	24
74	69	23
75	70	22
76	71	21
77	71	20
78	72	19
79	73	18
80	74	17
81	75	16
82	75	15
83	76	14
84	77	13
85	77	12
86	78	11
87	79	10
88	80	9
89	80	8
90	81	8
91	82	7
92	83	6
93	83	5
94	84	4
95	85	3
96	85	2
97	86	1
98	87	0
99	87	0
